Sample	BioProject	Location	Plant	Organ material	Year	Season	Species
SRR24918056	PRJNA980748	Rikord Island, the southern Primorsky Territory of the Russian Far East (42.870564, 131.655779)	P-4	Leaf	2022	Summer	V. amurensis
SRR24918038	PRJNA980748	Rikord Island, the southern Primorsky Territory of the Russian Far East (42.870564, 131.655779)	P-4	Stem	2022	Summer	V. amurensis
SRR24917994	PRJNA980748	Rikord Island, the southern Primorsky Territory of the Russian Far East (42.870564, 131.655779)	P-4	Stem	2022	Summer	V. amurensis
SRR24917992	PRJNA980748	Litovko village, the southern Khabarovsk region of the Russian Far East (49.2540051, 135.1847371)	Kh-1	Leaf	2022	Summer	V. amurensis
SRR24917970	PRJNA980748	Litovko village, the southern Khabarovsk region of the Russian Far East (49.2540051, 135.1847371)	Kh-1	Leaf	2022	Summer	V. amurensis
SRR24917967	PRJNA980748	Litovko village, the southern Khabarovsk region of the Russian Far East (49.2540051, 135.1847371)	Kh-1	Stem	2022	Summer	V. amurensis
SRR24917965	PRJNA980748	Litovko village, the southern Khabarovsk region of the Russian Far East (49.2540051, 135.1847371)	Kh-1	Stem	2022	Summer	V. amurensis
SRR24918063	PRJNA980748	Silinsky forest, the southern Khabarovsk region of the Russian Far East (50.586259, 137.0172029)	Kh-2	Leaf	2022	Summer	V. amurensis
SRR24918061	PRJNA980748	Silinsky forest, the southern Khabarovsk region of the Russian Far East (50.586259, 137.0172029)	Kh-2	Leaf	2022	Summer	V. amurensis
SRR24918059	PRJNA980748	Silinsky forest, the southern Khabarovsk region of the Russian Far East (50.586259, 137.0172029)	Kh-2	Stem	2022	Summer	V. amurensis
SRR24917990	PRJNA980748	Silinsky forest, the southern Khabarovsk region of the Russian Far East (50.586259, 137.0172029)	Kh-2	Stem	2022	Summer	V. amurensis
SRR24917988	PRJNA980748	The botanical garden on Sakhalin Island (46.943386, 142.758662)	S-Va	Leaf	2022	Summer	V. amurensis
SRR24918035	PRJNA980748	The botanical garden on Sakhalin Island (46.943386, 142.758662)	S-Va	Leaf	2022	Summer	V. amurensis
SRR24918033	PRJNA980748	The botanical garden on Sakhalin Island (46.943386, 142.758662)	S-Va	Stem	2022	Summer	V. amurensis
SRR24917991	PRJNA980748	The botanical garden on Sakhalin Island (46.943386, 142.758662)	S-Va	Stem	2022	Summer	V. amurensis
SRR25433222	PRJNA998468	The commercial vineyard «Makarevich» (43.718600, 132.11040)	Ad	Leaf	2022	Summer	V. vinifera × V. amurensis cv. Adele 
SRR25433221	PRJNA998468	The commercial vineyard «Makarevich» (43.718600, 132.11040)	Ad	Leaf	2022	Summer	V. vinifera × V. amurensis cv. Adele 
SRR25433220	PRJNA998468	The commercial vineyard «Makarevich» (43.718600, 132.11040)	Ad	Stem	2022	Summer	V. vinifera × V. amurensis cv. Adele 
SRR25433219	PRJNA998468	The commercial vineyard «Makarevich» (43.718600, 132.11040)	Ad	Stem	2022	Summer	V. vinifera × V. amurensis cv. Adele 
SRR25433217	PRJNA998468	The commercial vineyard «Makarevich» (43.718600, 132.11040)	Muk	Leaf	2022	Summer	V. riparia × V. vinifera cv. Mukuzani 
SRR25433216	PRJNA998468	The commercial vineyard «Makarevich» (43.718600, 132.11040)	Muk	Leaf	2022	Summer	V. riparia × V. vinifera cv. Mukuzani 
SRR25433215	PRJNA998468	The commercial vineyard «Makarevich» (43.718600, 132.11040)	Muk	Stem	2022	Summer	V. riparia × V. vinifera cv. Mukuzani 
SRR25433214	PRJNA998468	The commercial vineyard «Makarevich» (43.718600, 132.11040)	Muk	Stem	2022	Summer	V. riparia × V. vinifera cv. Mukuzani 
SRR25433213	PRJNA998468	The commercial vineyard «PrimOrganica» (44.218073, 132.475822)	Alfa	Leaf	2022	Summer	V. labrusca × V. riparia cv. Alfa
SRR25433212	PRJNA998468	The commercial vineyard «PrimOrganica» (44.218073, 132.475822)	Alfa	Leaf	2022	Summer	V. labrusca × V. riparia cv. Alfa
SRR25433211	PRJNA998468	The commercial vineyard «PrimOrganica» (44.218073, 132.475822)	Alfa	Stem	2022	Summer	V. labrusca × V. riparia cv. Alfa
SRR25433210	PRJNA998468	The commercial vineyard «PrimOrganica» (44.218073, 132.475822)	Alfa	Stem	2022	Summer	V. labrusca × V. riparia cv. Alfa
SRR25433209	PRJNA998468	The commercial vineyard «PrimOrganica» (44.218073, 132.475822)	Pr-St	Leaf	2022	Summer	Vitis Elmer Swenson 2-7-13 cv. Prairie Star 
SRR25433208	PRJNA998468	The commercial vineyard «PrimOrganica» (44.218073, 132.475822)	Pr-St	Leaf	2022	Summer	Vitis Elmer Swenson 2-7-13 cv. Prairie Star 
SRR25433206	PRJNA998468	The commercial vineyard «PrimOrganica» (44.218073, 132.475822)	Pr-St	Stem	2022	Summer	Vitis Elmer Swenson 2-7-13 cv. Prairie Star 
SRR25433205	PRJNA998468	The commercial vineyard «PrimOrganica» (44.218073, 132.475822)	Pr-St	Stem	2022	Summer	Vitis Elmer Swenson 2-7-13 cv. Prairie Star 
