Sample	BioProject	Location	Plant	Organ material	Year	Season	Species
SRR24917998	PRJNA980748	Rikord Island, the southern Primorsky Territory of the Russian Far East (42.870564, 131.655779)	P-4	Leaf	2022	Summer	V. amurensis
SRR24918039	PRJNA980748	Rikord Island, the southern Primorsky Territory of the Russian Far East (42.870564, 131.655779)	P-4	Stem	2022	Summer	V. amurensis
SRR24918037	PRJNA980748	Rikord Island, the southern Primorsky Territory of the Russian Far East (42.870564, 131.655779)	P-4	Stem	2022	Summer	V. amurensis
SRR24917993	PRJNA980748	Litovko village, the southern Khabarovsk region of the Russian Far East (49.2540051, 135.1847371)	Kh-1	Leaf	2022	Summer	V. amurensis
SRR24917971	PRJNA980748	Litovko village, the southern Khabarovsk region of the Russian Far East (49.2540051, 135.1847371)	Kh-1	Leaf	2022	Summer	V. amurensis
SRR24917968	PRJNA980748	Litovko village, the southern Khabarovsk region of the Russian Far East (49.2540051, 135.1847371)	Kh-1	Stem	2022	Summer	V. amurensis
SRR24917966	PRJNA980748	Litovko village, the southern Khabarovsk region of the Russian Far East (49.2540051, 135.1847371)	Kh-1	Stem	2022	Summer	V. amurensis
SRR24917964	PRJNA980748	Silinsky forest, the southern Khabarovsk region of the Russian Far East (50.586259, 137.0172029)	Kh-2	Leaf	2022	Summer	V. amurensis
SRR24918062	PRJNA980748	Silinsky forest, the southern Khabarovsk region of the Russian Far East (50.586259, 137.0172029)	Kh-2	Leaf	2022	Summer	V. amurensis
SRR24918060	PRJNA980748	Silinsky forest, the southern Khabarovsk region of the Russian Far East (50.586259, 137.0172029)	Kh-2	Stem	2022	Summer	V. amurensis
SRR24918057	PRJNA980748	Silinsky forest, the southern Khabarovsk region of the Russian Far East (50.586259, 137.0172029)	Kh-2	Stem	2022	Summer	V. amurensis
SRR24917989	PRJNA980748	The botanical garden on Sakhalin Island (46.943386, 142.758662)	S-Va	Leaf	2022	Summer	V. amurensis
